x y pred
0.7000 1.1000 0.2703
0.7500 1.1000 0.2060
0.8000 1.1000 0.1436
0.8500 1.1000 0.0837
0.9000 1.1000 0.0267
0.9500 1.1000 -0.0270
1.0000 1.1000 -0.0769
1.0500 1.1000 -0.1227
1.1000 1.1000 -0.1643
1.1500 1.1000 -0.2015
1.2000 1.1000 -0.2341
-0.2000 1.1500 1.0866
-0.1500 1.1500 1.0818
-0.1000 1.1500 1.0709
-0.0500 1.1500 1.0537
-0.0000 1.1500 1.0303
0.0500 1.1500 1.0009
0.1000 1.1500 0.9655
0.1500 1.1500 0.9245
0.2000 1.1500 0.8783
0.2500 1.1500 0.8272
0.3000 1.1500 0.7718
0.3500 1.1500 0.7125
0.4000 1.1500 0.6500
0.4500 1.1500 0.5849
0.5000 1.1500 0.5179
0.5500 1.1500 0.4497
0.6000 1.1500 0.3809
0.6500 1.1500 0.3123
0.7000 1.1500 0.2445
0.7500 1.1500 0.1781
0.8000 1.1500 0.1138
0.8500 1.1500 0.0522
0.9000 1.1500 -0.0064
0.9500 1.1500 -0.0614
1.0000 1.1500 -0.1124
1.0500 1.1500 -0.1592
1.1000 1.1500 -0.2015
1.1500 1.1500 -0.2391
1.2000 1.1500 -0.2719
-0.2000 1.2000 1.0924
-0.1500 1.2000 1.0866
-0.1000 1.2000 1.0745
-0.0500 1.2000 1.0561
-0.0000 1.2000 1.0313
0.0500 1.2000 1.0004
0.1000 1.2000 0.9634
0.1500 1.2000 0.9207
0.2000 1.2000 0.8727
0.2500 1.2000 0.8197
0.3000 1.2000 0.7624
0.3500 1.2000 0.7011
0.4000 1.2000 0.6367
0.4500 1.2000 0.5696
0.5000 1.2000 0.5007
0.5500 1.2000 0.4305
0.6000 1.2000 0.3599
0.6500 1.2000 0.2895
0.7000 1.2000 0.2201
0.7500 1.2000 0.1522
0.8000 1.2000 0.0864
0.8500 1.2000 0.0235
0.9000 1.2000 -0.0362
0.9500 1.2000 -0.0922
1.0000 1.2000 -0.1440
1.0500 1.2000 -0.1914
1.1000 1.2000 -0.2341
1.1500 1.2000 -0.2719
1.2000 1.2000 -0.3049
